T,ID,IEV,MV,Inv,,,,,,,,,,,
1935,1,2.8,3078.5,317.6,,,,,,,,,,,
1936,1,52.6,4661.7,391.8,,,,,,,,,,,
1937,1,156.9,5387.1,410.6,,,,,,,,,,,
1938,1,209.2,2792.2,257.7,,,,,,,,,,,
1939,1,203.4,4313.2,330.8,,,,,,,,,,,
1940,1,207.2,4643.9,461.2,,,,,,,,,,,
1941,1,255.2,4551.2,512,,,,,,,,,,,
1942,1,303.7,3244.1,448,,,,,,,,,,,
1943,1,264.1,4053.7,499.6,,,,,,,,,,,
1944,1,201.6,4379.3,547.5,,,,,,,,,,,
1945,1,265,4840.9,561.2,,,,,,,,,,,
1946,1,402.2,4900.9,688.1,,,,,,,,,,,
1947,1,761.5,3526.5,568.9,,,,,,,,,,,
1948,1,922.4,3254.7,529.2,,,,,,,,,,,
1949,1,1020.1,3700.2,555.1,,,,,,,,,,,
1950,1,1099,3755.6,642.9,,,,,,,,,,,
1951,1,1207.7,4833,755.9,,,,,,,,,,,
1952,1,1430.5,4924.9,891.2,,,,,,,,,,,
1953,1,1777.3,6241.7,1304.4,,,,,,,,,,,
1954,1,2226.3,5593.6,1486.7,,,,,,,,,,,
1935,2,10.5,417.5,40.29,,,,,,,,,,,
1936,2,10.2,837.8,72.76,,,,,,,,,,,
1937,2,34.7,883.9,66.26,,,,,,,,,,,
1938,2,51.8,437.9,51.6,,,,,,,,,,,
1939,2,64.3,679.7,52.41,,,,,,,,,,,
1940,2,67.1,727.8,69.41,,,,,,,,,,,
1941,2,75.2,643.6,68.35,,,,,,,,,,,
1942,2,71.4,410.9,46.8,,,,,,,,,,,
1943,2,67.1,588.4,47.4,,,,,,,,,,,
1944,2,60.5,698.4,59.57,,,,,,,,,,,
1945,2,54.6,846.4,88.78,,,,,,,,,,,
1946,2,84.8,893.8,74.12,,,,,,,,,,,
1947,2,96.8,579,62.68,,,,,,,,,,,
1948,2,110.2,694.6,89.36,,,,,,,,,,,
1949,2,147.4,590.3,78.98,,,,,,,,,,,
1950,2,163.2,693.5,100.66,,,,,,,,,,,
1951,2,203.5,809,160.62,,,,,,,,,,,
1952,2,290.6,727,145,,,,,,,,,,,
1953,2,346.1,1001.5,174.93,,,,,,,,,,,
1954,2,414.9,703.2,172.49,,,,,,,,,,,
1935,3,97.8,1170.6,33.1,,,,,,,,,,,
1936,3,104.4,2015.8,45,,,,,,,,,,,
1937,3,118,2803.3,77.2,,,,,,,,,,,
1938,3,156.2,2039.7,44.6,,,,,,,,,,,
1939,3,172.6,2256.2,48.1,,,,,,,,,,,
1940,3,186.6,2132.2,74.4,,,,,,,,,,,
1941,3,220.9,1834.1,113,,,,,,,,,,,
1942,3,287.8,1588,91.9,,,,,,,,,,,
1943,3,319.9,1749.4,61.3,,,,,,,,,,,
1944,3,321.3,1687.2,56.8,,,,,,,,,,,
1945,3,319.6,2007.7,93.6,,,,,,,,,,,
1946,3,346,2208.3,159.9,,,,,,,,,,,
1947,3,456.4,1656.7,147.2,,,,,,,,,,,
1948,3,543.4,1604.4,146.3,,,,,,,,,,,
1949,3,618.3,1431.8,98.3,,,,,,,,,,,
1950,3,647.4,1610.5,93.5,,,,,,,,,,,
1951,3,671.3,1819.4,135.2,,,,,,,,,,,
1952,3,726.1,2079.7,157.3,,,,,,,,,,,
1953,3,800.3,2371.6,179.5,,,,,,,,,,,
1954,3,888.8,2759.9,189.6,,,,,,,,,,,
1935,4,1.8,191.5,12.93,,,,,,,,,,,
1936,4,0.8,516,25.9,,,,,,,,,,,
1937,4,7.4,729,35.05,,,,,,,,,,,
1938,4,18.1,560.4,22.89,,,,,,,,,,,
1939,4,23.5,519.9,18.84,,,,,,,,,,,
1940,4,26.5,628.5,28.57,,,,,,,,,,,
1941,4,36.2,537.1,48.51,,,,,,,,,,,
1942,4,60.8,561.2,43.34,,,,,,,,,,,
1943,4,84.4,617.2,37.02,,,,,,,,,,,
1944,4,91.2,626.7,37.81,,,,,,,,,,,
1945,4,92.4,737.2,39.27,,,,,,,,,,,
1946,4,86,760.5,53.46,,,,,,,,,,,
1947,4,111.1,581.4,55.56,,,,,,,,,,,
1948,4,130.6,662.3,49.56,,,,,,,,,,,
1949,4,141.8,583.8,32.04,,,,,,,,,,,
1950,4,136.7,635.2,32.24,,,,,,,,,,,
1951,4,129.7,723.8,54.38,,,,,,,,,,,
1952,4,145.5,864.1,71.78,,,,,,,,,,,
1953,4,174.8,1193.5,90.08,,,,,,,,,,,
1954,4,213.5,1188.9,68.6,,,,,,,,,,,
1935,5,53.8,1362.4,209.9,,,,,,,,,,,
1936,5,50.5,1807.1,355.3,,,,,,,,,,,
1937,5,118.1,2676.3,469.9,,,,,,,,,,,
1938,5,260.2,1801.9,262.3,,,,,,,,,,,
1939,5,312.7,1957.3,230.4,,,,,,,,,,,
1940,5,254.2,2202.9,261.6,,,,,,,,,,,
1941,5,261.4,2380.5,472.8,,,,,,,,,,,
1942,5,298.7,2168.6,445.6,,,,,,,,,,,
1943,5,301.8,1985.1,361.6,,,,,,,,,,,
1944,5,279.1,1813.9,288.2,,,,,,,,,,,
1945,5,213.8,1850.2,258.7,,,,,,,,,,,
1946,5,232.6,2067.7,420.3,,,,,,,,,,,
1947,5,264.8,1796.7,420.5,,,,,,,,,,,
1948,5,306.9,1625.8,494.5,,,,,,,,,,,
1949,5,351.1,1667,405.1,,,,,,,,,,,
1950,5,357.8,1677.4,418.8,,,,,,,,,,,
1951,5,342.1,2289.5,588.2,,,,,,,,,,,
1952,5,444.2,2159.4,645.2,,,,,,,,,,,
1953,5,623.6,2031.3,641,,,,,,,,,,,
1954,5,669.7,2115.5,459.3,,,,,,,,,,,
